league,name,href,value
Cyprus League,Pafos FC,https://www.transfermarkt.com/pafos-fc/kader/verein/45457/saison_id/2024,24150000
Cyprus League,Aris Limassol,https://www.transfermarkt.com/aris-limassol/kader/verein/10586/saison_id/2024,20000000
Cyprus League,Omonia Nicosia,https://www.transfermarkt.com/omonia-nicosia/kader/verein/829/saison_id/2024,19230000
Cyprus League,APOEL Nicosia,https://www.transfermarkt.com/apoel-nicosia/kader/verein/2784/saison_id/2024,14850000
Cyprus League,AEK Larnaca,https://www.transfermarkt.com/aek-larnaca/kader/verein/2156/saison_id/2024,13980000
Cyprus League,Apollon Limassol,https://www.transfermarkt.com/apollon-limassol/kader/verein/429/saison_id/2024,12430000
Cyprus League,Anorthosis Famagusta,https://www.transfermarkt.com/anorthosis-famagusta/kader/verein/3899/saison_id/2024,11250000
Cyprus League,AEL Limassol,https://www.transfermarkt.com/ael-limassol/kader/verein/786/saison_id/2024,9430000
Cyprus League,Karmiotissa Pano Polemidion,https://www.transfermarkt.com/karmiotissa-pano-polemidion/kader/verein/42109/saison_id/2024,6500000
Cyprus League,Nea Salamina Famagusta,https://www.transfermarkt.com/nea-salamina-famagusta/kader/verein/18945/saison_id/2024,5850000
Cyprus League,Ethnikos Achnas,https://www.transfermarkt.com/ethnikos-achnas/kader/verein/4590/saison_id/2024,5530000
Cyprus League,Omonia 29is Maiou,https://www.transfermarkt.com/omonia-29is-maiou/kader/verein/91288/saison_id/2024,4580000
Cyprus League,Enosis Neon Paralimniou,https://www.transfermarkt.com/enosis-neon-paralimniou/kader/verein/840/saison_id/2024,3800000
Cyprus League,Omonia Aradippou,https://www.transfermarkt.com/omonia-aradippou/kader/verein/16024/saison_id/2024,2880000
Premijer Liga BiH,FK Sarajevo,https://www.transfermarkt.com/fk-sarajevo/kader/verein/282/saison_id/2024,11300000
Premijer Liga BiH,HSK Zrinjski Mostar,https://www.transfermarkt.com/hsk-zrinjski-mostar/kader/verein/6808/saison_id/2024,9700000
Premijer Liga BiH,FK Borac Banja Luka,https://www.transfermarkt.com/fk-borac-banja-luka/kader/verein/3900/saison_id/2024,8600000
Premijer Liga BiH,FK Velez Mostar,https://www.transfermarkt.com/fk-velez-mostar/kader/verein/628/saison_id/2024,5700000
Premijer Liga BiH,FK Zeljeznicar Sarajevo,https://www.transfermarkt.com/fk-zeljeznicar-sarajevo/kader/verein/2573/saison_id/2024,4900000
Premijer Liga BiH,FK Sloboda Tuzla,https://www.transfermarkt.com/fk-sloboda-tuzla/kader/verein/5405/saison_id/2024,4050000
Premijer Liga BiH,NK Siroki Brijeg,https://www.transfermarkt.com/nk-siroki-brijeg/kader/verein/1242/saison_id/2024,3800000
Premijer Liga BiH,FK Radnik Bijeljina,https://www.transfermarkt.com/fk-radnik-bijeljina/kader/verein/11040/saison_id/2024,3800000
Premijer Liga BiH,FK Sloga Meridian,https://www.transfermarkt.com/fk-sloga-meridian/kader/verein/7569/saison_id/2024,3550000
Premijer Liga BiH,HSK Posusje,https://www.transfermarkt.com/hsk-posusje/kader/verein/1014/saison_id/2024,3400000
Premijer Liga BiH,FK Igman Konjic,https://www.transfermarkt.com/fk-igman-konjic/kader/verein/11100/saison_id/2024,3200000
Premijer Liga BiH,NK GOSK Gabela,https://www.transfermarkt.com/nk-gosk-gabela/kader/verein/9544/saison_id/2024,2750000
Ligat ha'Al,Maccabi Tel Aviv,https://www.transfermarkt.com/maccabi-tel-aviv/kader/verein/119/saison_id/2024,23180000
Ligat ha'Al,Maccabi Haifa,https://www.transfermarkt.com/maccabi-haifa/kader/verein/1064/saison_id/2024,22910000
Ligat ha'Al,Hapoel Beer Sheva,https://www.transfermarkt.com/hapoel-beer-sheva/kader/verein/2976/saison_id/2024,14230000
Ligat ha'Al,Beitar Jerusalem,https://www.transfermarkt.com/beitar-jerusalem/kader/verein/3793/saison_id/2024,9710000
Ligat ha'Al,Maccabi Netanya,https://www.transfermarkt.com/maccabi-netanya/kader/verein/5223/saison_id/2024,7480000
Ligat ha'Al,Maccabi Petah Tikva,https://www.transfermarkt.com/maccabi-petah-tikva/kader/verein/3785/saison_id/2024,7390000
Ligat ha'Al,Hapoel Jerusalem,https://www.transfermarkt.com/hapoel-jerusalem/kader/verein/43119/saison_id/2024,7180000
Ligat ha'Al,FC Ashdod,https://www.transfermarkt.com/fc-ashdod/kader/verein/6105/saison_id/2024,7050000
Ligat ha'Al,Ihud Bnei Sakhnin,https://www.transfermarkt.com/ihud-bnei-sakhnin/kader/verein/4769/saison_id/2024,5930000
Ligat ha'Al,Ironi Kiryat Shmona,https://www.transfermarkt.com/ironi-kiryat-shmona/kader/verein/6028/saison_id/2024,5890000
Ligat ha'Al,Hapoel Haifa,https://www.transfermarkt.com/hapoel-haifa/kader/verein/810/saison_id/2024,5780000
