competition_type,competition_name,country,number_of_clubs,number_of_players,average_age,foreigners_percentage,total_market_value,competition_url
European leagues & cups,Cyprus League,Cyprus,14,429,26.5,62.9,154000000.0,https://www.transfermarkt.com/cyprus-league/startseite/wettbewerb/ZYP1
European leagues & cups,Ligat ha'Al,Israel,14,389,25.8,24.4,131000000.0,https://www.transfermarkt.com/ligat-haal/startseite/wettbewerb/ISR1
European leagues & cups,Nike Liga,Slovakia,12,316,25.5,40.5,98000000.0,https://www.transfermarkt.com/nike-liga/startseite/wettbewerb/SLO1
European leagues & cups,Premyer Liqa,Azerbaijan,10,260,26.6,44.6,90000000.0,https://www.transfermarkt.com/premyer-liqa/startseite/wettbewerb/AZ1
European leagues & cups,Premier Liga,Kazakhstan,13,321,27.7,47.0,80000000.0,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/KAS1
European leagues & cups,Premijer Liga BiH,Bosnia-Herzegovina,12,342,26.2,44.4,64000000.0,https://www.transfermarkt.com/premijer-liga-bosne-i-hercegovine/startseite/wettbewerb/BOS1
European leagues & cups,Prva Liga,Slovenia,10,274,24.8,46.4,64000000.0,https://www.transfermarkt.com/prva-liga/startseite/wettbewerb/SL1
European leagues & cups,Vysheyshaya Liga,Belarus,16,414,25.0,22.2,57000000.0,https://www.transfermarkt.com/vysheyshaya-liga/startseite/wettbewerb/WER1
European leagues & cups,A Lyga,Lithuania,10,257,25.8,45.9,53000000.0,https://www.transfermarkt.com/a-lyga/startseite/wettbewerb/LI1
European leagues & cups,Virsliga,Latvia,10,290,23.5,40.3,49000000.0,https://www.transfermarkt.com/virsliga/startseite/wettbewerb/LET1
European leagues & cups,Veikkausliiga,Finland,12,324,24.7,34.9,49000000.0,https://www.transfermarkt.com/veikkausliiga/startseite/wettbewerb/FI1
European leagues & cups,Bardzraguyn khumb,Armenia,11,291,25.2,46.0,43000000.0,https://www.transfermarkt.com/bardzraguyn-khumb/startseite/wettbewerb/ARM1
